device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,delayed_flag
7,82,1970-01-01 02:01:19,2025-11-05 16:27:18,0,0,0
9,82,1970-01-01 02:01:19,2025-11-05 16:27:18,0,0,0
8,82,1970-01-01 02:01:19,2025-11-05 16:27:18,0,0,0
6,82,1970-01-01 02:01:19,2025-11-05 16:27:18,0,0,0
7,83,1970-01-01 02:01:20,2025-11-05 16:27:19,0,0,0
9,83,1970-01-01 02:01:20,2025-11-05 16:27:19,0,0,0
6,83,1970-01-01 02:01:20,2025-11-05 16:27:19,0,0,0
8,83,1970-01-01 02:01:20,2025-11-05 16:27:19,0,0,0
7,84,1970-01-01 02:01:21,2025-11-05 16:27:20,0,0,0
6,84,1970-01-01 02:01:21,2025-11-05 16:27:20,0,0,0
8,84,1970-01-01 02:01:21,2025-11-05 16:27:20,0,0,0
9,84,1970-01-01 02:01:21,2025-11-05 16:27:20,0,0,0
7,85,1970-01-01 02:01:22,2025-11-05 16:27:21,0,0,0
8,85,1970-01-01 02:01:22,2025-11-05 16:27:21,0,0,0
9,85,1970-01-01 02:01:22,2025-11-05 16:27:21,0,0,0
6,85,1970-01-01 02:01:22,2025-11-05 16:27:21,0,0,0
7,86,1970-01-01 02:01:23,2025-11-05 16:27:22,0,0,0
6,86,1970-01-01 02:01:23,2025-11-05 16:27:22,0,0,0
8,86,1970-01-01 02:01:23,2025-11-05 16:27:22,0,0,0
9,86,1970-01-01 02:01:23,2025-11-05 16:27:22,0,0,0
7,87,1970-01-01 02:01:24,2025-11-05 16:27:23,0,0,0
9,87,1970-01-01 02:01:24,2025-11-05 16:27:23,0,0,0
8,87,1970-01-01 02:01:24,2025-11-05 16:27:23,0,0,0
6,87,1970-01-01 02:01:24,2025-11-05 16:27:23,0,0,0
7,88,1970-01-01 02:01:25,2025-11-05 16:27:24,0,0,0
6,88,1970-01-01 02:01:25,2025-11-05 16:27:24,0,0,0
8,88,1970-01-01 02:01:25,2025-11-05 16:27:24,0,0,0
9,88,1970-01-01 02:01:25,2025-11-05 16:27:24,0,0,0
7,89,1970-01-01 02:01:26,2025-11-05 16:27:25,0,0,0
9,89,1970-01-01 02:01:26,2025-11-05 16:27:25,0,0,0
6,89,1970-01-01 02:01:26,2025-11-05 16:27:25,0,0,0
8,89,1970-01-01 02:01:26,2025-11-05 16:27:25,0,0,0
7,90,1970-01-01 02:01:27,2025-11-05 16:27:26,0,0,0
8,90,1970-01-01 02:01:27,2025-11-05 16:27:26,0,0,0
9,90,1970-01-01 02:01:27,2025-11-05 16:27:26,0,0,0
6,90,1970-01-01 02:01:27,2025-11-05 16:27:26,0,0,0
7,91,1970-01-01 02:01:28,2025-11-05 16:27:27,0,0,0
8,91,1970-01-01 02:01:28,2025-11-05 16:27:27,0,0,0
9,91,1970-01-01 02:01:28,2025-11-05 16:27:27,0,0,0
6,91,1970-01-01 02:01:28,2025-11-05 16:27:27,0,0,0
7,92,1970-01-01 02:01:29,2025-11-05 16:27:28,0,0,0
9,92,1970-01-01 02:01:29,2025-11-05 16:27:28,0,0,0
6,92,1970-01-01 02:01:29,2025-11-05 16:27:28,0,0,0
8,92,1970-01-01 02:01:29,2025-11-05 16:27:28,0,0,0
7,93,1970-01-01 02:01:30,2025-11-05 16:27:29,0,0,0
6,93,1970-01-01 02:01:30,2025-11-05 16:27:29,0,0,0
9,93,1970-01-01 02:01:30,2025-11-05 16:27:29,0,0,0
8,93,1970-01-01 02:01:30,2025-11-05 16:27:29,0,0,0
7,94,1970-01-01 02:01:31,2025-11-05 16:27:30,0,0,0
9,94,1970-01-01 02:01:31,2025-11-05 16:27:30,0,0,0
6,94,1970-01-01 02:01:31,2025-11-05 16:27:30,0,0,0
8,94,1970-01-01 02:01:31,2025-11-05 16:27:30,0,0,0
